Token file dump for '/aramis/Data/Source/Mondial/tokens'
Generated on 2002-12-15 12:24:29.068

tokenCount    = 12126
instanceCount = 588662
(' ', count=307308, hclen=1)
('858', count=47, hclen=14)
('1348', count=46, hclen=14)
('1381', count=46, hclen=14)
('1960', count=46, hclen=14)
('46', count=46, hclen=14)
('70', count=46, hclen=14)
('825', count=46, hclen=14)
('875', count=46, hclen=14)
('I', count=46, hclen=14)
('nonregional', count=46, hclen=14)
('639', count=45, hclen=14)
('72', count=45, hclen=14)
('74', count=45, hclen=14)
('84', count=45, hclen=14)
('1211', count=44, hclen=14)
('1292', count=44, hclen=14)
('1314', count=44, hclen=14)
('1386', count=44, hclen=14)
('1405', count=44, hclen=14)
('1417', count=44, hclen=14)
('430', count=44, hclen=14)
('56', count=44, hclen=14)
('750', count=44, hclen=14)
('820', count=44, hclen=14)
('915', count=44, hclen=14)
('1127', count=43, hclen=14)
('1184', count=43, hclen=14)
('1297', count=43, hclen=14)
('1943', count=43, hclen=14)
('51', count=43, hclen=14)
('677', count=43, hclen=14)
('957', count=43, hclen=14)
('1952', count=42, hclen=14)
('435', count=42, hclen=14)
('545', count=42, hclen=14)
('63', count=42, hclen=14)
('73', count=42, hclen=14)
('179', count=41, hclen=14)
('1974', count=41, hclen=14)
('380', count=41, hclen=14)
('482', count=41, hclen=14)
('624', count=41, hclen=14)
('African', count=41, hclen=14)
('2007', count=40, hclen=14)
('2008', count=40, hclen=14)
('290', count=40, hclen=14)
('597', count=40, hclen=14)
('707', count=40, hclen=14)
('755', count=40, hclen=14)
('77', count=40, hclen=14)
('863', count=40, hclen=14)
('1132', count=39, hclen=14)
('1194', count=39, hclen=14)
('1248', count=39, hclen=14)
('1938', count=39, hclen=14)
('425', count=39, hclen=14)
('440', count=39, hclen=14)
('952', count=39, hclen=14)
('1206', count=38, hclen=14)
('280', count=38, hclen=14)
('305', count=38, hclen=14)
('470', count=38, hclen=14)
('53', count=38, hclen=14)
('602', count=38, hclen=14)
('71', count=38, hclen=14)
('United', count=38, hclen=14)
('1151', count=37, hclen=14)
('1807', count=37, hclen=14)
('565', count=37, hclen=14)
('570', count=37, hclen=14)
('613', count=37, hclen=14)
('78', count=37, hclen=14)
('98', count=37, hclen=14)
('1939', count=36, hclen=14)
('487', count=36, hclen=14)
('634', count=36, hclen=14)
('67', count=36, hclen=14)
('69', count=36, hclen=14)
('745', count=36, hclen=14)
('937', count=36, hclen=14)
('97', count=36, hclen=14)
('European', count=36, hclen=14)
('the', count=36, hclen=14)
('1057', count=35, hclen=14)
('1221', count=35, hclen=14)
('157', count=35, hclen=14)
('1811', count=35, hclen=14)
('1844', count=35, hclen=14)
('1970', count=35, hclen=14)
